Title,Price,Location,Seller Badge
Xiaomi Redmi Note 9 Pro MAX 128GB 8GB Ram 5G (New),"Rs 29,500","Colombo, Mobile Phones",MEMBER
Samsung Galaxy A15 4GB/128GB|22 (New),"Rs 43,990","Colombo, Mobile Phones",MEMBER
Samsung Galaxy A14 -5G 6GB Ram|1 (Used),"Rs 34,999","Kalutara, Mobile Phones",MEMBER
Apple iPhone 12 Pro 512GB (Used),"Rs 136,000","Gampaha, Mobile Phones",MEMBER
Xiaomi 13C Redmi (Used),"Rs 38,000","Gampaha, Mobile Phones",No badge
PS5 DualSense Charging Station,"Rs 10,000","Colombo, Video Games & Consoles",No badge
Huawei Nova 3i Battery,"Rs 3,500","Kalutara, Mobile Phone Accessories",MEMBER
Samsung Galaxy J7 Battery,"Rs 1,799","Kalutara, Mobile Phone Accessories",MEMBER
Samsung Galaxy A04 Display,"Rs 3,500","Kalutara, Mobile Phone Accessories",MEMBER
H48 AIRPOD - NEW,"Rs 3,200","Gampaha, Mobile Phone Accessories",MEMBER
Basio 4 Battery,"Rs 2,999","Kalutara, Mobile Phone Accessories",MEMBER
Samsung Galaxy A04 Display,"Rs 3,500","Kalutara, Mobile Phone Accessories",MEMBER
Basio 4 Battery,"Rs 2,999","Kalutara, Mobile Phone Accessories",MEMBER
Apple iPhone 12 Pro 512GB (Used),"Rs 136,000","Gampaha, Mobile Phones",MEMBER
Samsung M02s Display,"Rs 3,999","Kalutara, Mobile Phone Accessories",MEMBER
Samsung M02s Display,"Rs 3,999","Kalutara, Mobile Phone Accessories",MEMBER
Apple iPhone 12 Pro 512GB (Used),"Rs 136,000","Gampaha, Mobile Phones",MEMBER
Xiaomi Redmi 13 256GB (New),"Rs 46,500","Gampaha, Mobile Phones",No badge
I3 4th Gen PC,"Rs 25,000","Kurunegala, Computers & Tablets",No badge
Apple iPhone XS 256 GB (Used),"Rs 71,999","Gampaha, Mobile Phones",MEMBER
Haier 7kg washing machine,"Rs 43,000","Colombo, Electronic Home Appliances",MEMBER
AIRPOD (BLUETOOTH) H48,"Rs 3,200","Gampaha, Mobile Phone Accessories",MEMBER
Fujitsu ARROWS (F-41B) -6 (Used),"Rs 19,998","Kalutara, Mobile Phones",MEMBER
Fujitsu ARROWS (F-41B) -4 (Used),"Rs 19,998","Kalutara, Mobile Phones",MEMBER
Xiaomi Redmi A8 (Used),"Rs 9,500","Gampaha, Mobile Phones",No badge
Fujitsu ARROWS (F-41B) -3 (Used),"Rs 19,998","Kalutara, Mobile Phones",MEMBER
Apple Ipad Air 11 -Inch M2 128GB,"Rs 175,000","Colombo, Computers & Tablets",No badge
